Time (s),Sensor 1 - Short Channel
9.2012779712677,2609
9.211018085479736,2181
9.221138954162598,2610
9.231164932250977,2432
9.2412691116333,2474
9.25097918510437,2661
9.26094913482666,2285
9.270923137664795,2636
9.281020879745483,2477
9.290987014770508,2438
9.30095100402832,2637
9.311010122299194,2283
9.320700883865356,2692
9.330734014511108,2371
9.340817928314209,2424
9.350821018218994,2495
9.360964059829712,2324
9.370548009872437,2557
9.38054895401001,2398
9.39063811302185,2420
9.402815103530884,2488
9.410685062408447,2334
9.42060112953186,2569
9.430769920349121,2380
9.440818071365356,2461
9.450785160064697,2475
9.460289001464844,2213
9.470252990722656,2612
9.480350017547607,2349
9.490340232849121,2455
9.50050687789917,2504
9.510617971420288,2284
9.520501136779785,2550
9.530548095703125,2377
9.540122985839844,2534
9.55019998550415,2478
9.56026005744934,2305
9.569899082183838,2622
9.580023050308228,2381
9.59004807472229,2486
9.600050926208496,2500
9.610191822052002,2246
9.620206117630005,2449
9.62992000579834,2006
9.639894008636475,2141
9.649839162826538,2056
9.659759044647217,1749
9.669679880142212,2082
9.679694175720215,1705
9.689734935760498,1855
9.699723958969116,1978
9.709891080856323,1860
9.71965217590332,2268
9.729748010635376,1997
9.739725112915039,2188
9.749695062637329,2230
9.759548902511597,2138
9.769545078277588,2524
9.779359102249146,2163
9.78941011428833,2417
9.799654960632324,2362
9.809584856033325,2258
9.82132887840271,2608
9.829337120056152,2251
9.839317083358765,2389
9.849466800689697,2423
9.859071016311646,2389
9.86905288696289,2617
9.879233121871948,2214
9.88923692703247,2523
9.89926290512085,2367
9.909420013427734,2401
9.919507026672363,2549
9.929335117340088,2261
9.93894100189209,2493
9.94883108139038,2417
9.959155082702637,2327
9.968825101852417,2509
9.978947162628174,2265
9.98880910873413,2455
9.99888801574707,2407
10.008996963500977,2326
10.018960952758789,2479
10.028734922409058,2308
10.038794040679932,2557
10.051225900650024,2445
10.058550119400024,2388
10.068514108657837,2516
10.078598022460938,2364
10.088750123977661,2559
10.102005004882812,2474
10.110943078994751,2431
10.118361949920654,2631
10.12858510017395,2305
10.13814401626587,2542
10.148249864578247,2481
10.15827202796936,2485
10.168228149414062,2576
10.178192853927612,2331
10.188102006912231,2564
10.198038101196289,2455
10.20809292793274,2451
10.218073844909668,2629
10.228111982345581,2173
10.238457918167114,2517
10.248208999633789,2471
10.257811069488525,2486
10.267825841903687,2475
10.277765989303589,2131
10.287930011749268,2528
10.297894954681396,2321
10.308025121688843,2396
10.317744970321655,2536
10.327699899673462,2167
10.33771014213562,2625
10.347631931304932,2282
10.357778072357178,2396
10.367769956588745,2541
10.377745866775513,2180
10.387694120407104,2637
10.397664070129395,2280
10.407669067382812,2474
10.417938947677612,2555
10.427599906921387,2247
10.438288927078247,2661
10.44762396812439,2355
10.457280158996582,2458
10.4672269821167,2560
10.47718095779419,2226
10.487415075302124,2557
